#K-Path      Energy-Level
# NKPTS & NBANDS: 120 136
# Band-Index    1
   0.49840    -20.841450
   0.50667    -20.841285
   0.51494    -20.841193
   0.52321    -20.841173
   0.53148    -20.841228
   0.53975    -20.841358
   0.54802    -20.841560
   0.55629    -20.841830
   0.56455    -20.842168
   0.57282    -20.842571
   0.58109    -20.843028
   0.58936    -20.843539
   0.59763    -20.844095
   0.60590    -20.844689
   0.61417    -20.845314
   0.62244    -20.845965
   0.63071    -20.846629
   0.63897    -20.847309
   0.64724    -20.847988
   0.65551    -20.848661
   0.66378    -20.849317
   0.67205    -20.849954
   0.68032    -20.850562
   0.68859    -20.851136
   0.69686    -20.851667
   0.70513    -20.852149
   0.71339    -20.852578
   0.72166    -20.852952
   0.72993    -20.853264
   0.73820    -20.853509
   0.74647    -20.853685
   0.75474    -20.853791
   0.76301    -20.853829
 
 
# Band-Index    6
   0.76301    -20.005956
   0.75474    -20.005838
   0.74647    -20.005494
   0.73820    -20.004924
   0.72993    -20.004130
   0.72166    -20.003122
   0.71339    -20.001907
   0.70513    -20.000496
   0.69686    -19.998900
   0.68859    -19.997136
   0.68032    -19.995216
   0.67205    -19.993164
   0.66378    -19.990992
   0.65551    -19.988728
   0.64724    -19.986389
   0.63897    -19.984002
   0.63071    -19.981594
   0.62244    -19.979193
   0.61417    -19.976822
   0.60590    -19.974518
   0.59763    -19.972305
   0.58936    -19.970212
   0.58109    -19.968268
   0.57282    -19.966508
   0.56455    -19.964947
   0.55629    -19.963611
   0.54802    -19.962528
   0.53975    -19.961710
   0.53148    -19.961169
   0.52321    -19.960922
   0.51494    -19.960965
   0.50667    -19.961299
   0.49840    -19.961920
   0.49014    -19.962818
   0.48187    -19.963977
   0.47360    -19.965379
   0.46533    -19.967004
   0.45706    -19.968827
   0.44879    -19.970825
   0.44052    -19.972963
   0.44052    -19.972963
   0.43639    -19.972425
   0.43225    -19.971897
   0.42812    -19.971376
   0.42398    -19.970865
   0.41985    -19.970362
   0.41572    -19.969870
   0.41158    -19.969385
   0.40745    -19.968912
   0.40331    -19.968448
   0.39918    -19.967997
   0.39504    -19.967560
   0.39091    -19.967134
   0.38678    -19.966719
   0.38264    -19.966319
   0.37851    -19.965931
   0.37437    -19.965554
   0.37024    -19.965191
   0.36610    -19.964844
   0.36197    -19.964511
   0.35783    -19.964193
   0.35370    -19.963888
   0.34957    -19.963599
   0.34543    -19.963325
   0.34130    -19.963067
   0.33716    -19.962823
   0.33303    -19.962595
   0.32889    -19.962383
   0.32476    -19.962188
   0.32062    -19.962010
   0.31649    -19.961846
   0.31236    -19.961702
   0.30822    -19.961573
   0.30409    -19.961461
   0.29995    -19.961367
   0.29582    -19.961289
   0.29168    -19.961229
   0.28755    -19.961186
   0.28341    -19.961161
   0.27928    -19.961158
   0.27928    -19.961158
   0.27212    -19.961237
   0.26496    -19.961484
   0.25780    -19.961896
   0.25064    -19.962462
   0.24348    -19.963188
   0.23631    -19.964060
   0.22915    -19.965070
   0.22199    -19.966209
   0.21483    -19.967469
   0.20767    -19.968837
   0.20051    -19.970304
   0.19335    -19.971857
   0.18619    -19.973484
   0.17903    -19.975170
   0.17186    -19.976903
   0.16470    -19.978674
   0.15754    -19.980467
   0.15038    -19.982270
   0.14322    -19.984073
   0.13606    -19.985864
   0.12890    -19.987630
   0.12174    -19.989364
   0.11458    -19.991054
   0.10742    -19.992686
   0.10025    -19.994257
   0.09309    -19.995758
   0.08593    -19.997177
   0.07877    -19.998508
   0.07161    -19.999749
   0.06445    -20.000891
   0.05729    -20.001926
   0.05013    -20.002852
