#K-Path      Energy-Level
# NKPTS & NBANDS:  12 136
# Band-Index    1
   0.52114    -12.132674
   0.60176    -11.792262
   0.68239    -11.579641
   0.76301    -11.450283
 
 
# Band-Index   40
   0.76301    -11.450069
   0.68239    -11.568619
   0.60176    -11.770495
   0.52114    -11.709337
   0.44052    -11.698560
   0.44052    -11.698560
   0.35990    -11.926614
   0.27928    -12.162628
   0.27928    -12.162628
   0.18619    -11.851419
   0.09309    -11.590993
   0.00000    -11.450069
 
 
# Band-Index   41
   0.00000    -11.287483
   0.09309    -11.469045
   0.18619    -11.636775
   0.27928    -11.363440
   0.27928    -11.363440
   0.35990    -11.419061
   0.44052    -11.697820
   0.44052    -11.697820
   0.52114    -11.613760
   0.60176    -11.527289
   0.68239    -11.363596
   0.76301    -11.287483
 
 
# Band-Index   42
   0.76301    -11.286442
   0.68239    -11.330649
   0.60176    -11.434067
   0.52114    -11.289598
   0.44052    -11.388246
   0.44052    -11.388246
   0.35990    -11.145460
   0.27928    -10.980861
   0.27928    -10.980861
   0.18619    -11.098728
   0.09309    -11.307586
   0.00000    -11.286442
 
 
# Band-Index   43
   0.00000    -11.077631
   0.09309    -11.017610
   0.18619    -10.982851
   0.27928    -10.971810
   0.27928    -10.971810
   0.35990    -11.127291
   0.44052    -10.772844
   0.44052    -10.772844
   0.52114    -11.116126
   0.60176    -11.107113
   0.68239    -11.188897
   0.76301    -11.077631
 
 
# Band-Index   44
   0.76301    -11.076252
   0.68239    -10.814465
   0.60176    -10.853306
   0.52114    -10.796379
   0.44052    -10.772142
   0.44052    -10.772142
   0.35990    -10.812144
   0.27928    -10.820201
   0.27928    -10.820201
   0.18619    -10.891863
   0.09309    -10.991607
   0.00000    -11.076252
 
 
# Band-Index   45
   0.00000    -11.008805
   0.09309    -10.562232
   0.18619    -10.512847
   0.27928    -10.766774
   0.27928    -10.766774
   0.35990    -10.586513
   0.44052    -10.547854
   0.44052    -10.547854
   0.52114    -10.380414
   0.60176    -10.327964
   0.68239    -10.734003
   0.76301    -11.008805
 
 
# Band-Index   46
   0.76301    -10.401296
   0.68239    -10.427248
   0.60176    -10.250024
   0.52114    -10.369537
   0.44052    -10.508317
   0.44052    -10.508317
   0.35990    -10.156270
   0.27928    -10.303071
   0.27928    -10.303071
   0.18619    -10.449522
   0.09309    -10.448937
   0.00000    -10.401296
 
 
# Band-Index   47
   0.00000    -10.284485
   0.09309    -10.249983
   0.18619    -10.082632
   0.27928    -10.020661
   0.27928    -10.020661
   0.35990    -10.008746
   0.44052     -9.813334
   0.44052     -9.813334
   0.52114     -9.973071
   0.60176    -10.147984
   0.68239    -10.238830
   0.76301    -10.284485
 
 
# Band-Index   48
   0.76301    -10.284166
   0.68239    -10.142212
   0.60176    -10.136765
   0.52114     -9.739876
   0.44052     -9.812395
   0.44052     -9.812395
   0.35990     -9.935680
   0.27928    -10.014660
   0.27928    -10.014660
   0.18619     -9.771014
   0.09309    -10.105260
   0.00000    -10.284166
 
 
# Band-Index   49
   0.00000     -9.749003
   0.09309     -9.715043
   0.18619     -9.661080
   0.27928     -9.627052
   0.27928     -9.627052
   0.35990     -9.665838
   0.44052     -9.512946
   0.44052     -9.512946
   0.52114     -9.639288
   0.60176     -9.674552
   0.68239     -9.699371
   0.76301     -9.749003
 
 
# Band-Index   50
   0.76301     -9.582386
   0.68239     -9.672683
   0.60176     -9.583494
   0.52114     -9.565577
   0.44052     -9.410074
   0.44052     -9.410074
   0.35990     -9.467138
   0.27928     -9.405379
   0.27928     -9.405379
   0.18619     -9.606832
   0.09309     -9.656494
   0.00000     -9.582386
 
 
# Band-Index   51
   0.00000     -9.215775
   0.09309     -9.295446
   0.18619     -9.551560
   0.27928     -9.200513
   0.27928     -9.200513
   0.35990     -9.248681
   0.44052     -9.409021
   0.44052     -9.409021
   0.52114     -9.423780
   0.60176     -9.387674
   0.68239     -9.294819
   0.76301     -9.215775
 
 
# Band-Index   52
   0.76301     -9.213963
   0.68239     -9.278780
   0.60176     -9.147747
   0.52114     -9.254679
   0.44052     -9.076773
   0.44052     -9.076773
